*--SKJ[2009/05/11 07:30:00]SKJ--* 0
*--SKJ[2009/05/11 07:31:00]SKJ--* 100
*--SKJ[2009/05/11 07:32:00]SKJ--* 300
*--SKJ[2009/05/11 07:33:00]SKJ--* 500
*--SKJ[2009/05/11 07:34:00]SKJ--* 700
*--SKJ[2009/05/11 07:35:00]SKJ--* 900
*--SKJ[2009/05/11 07:36:00]SKJ--* 1100
*--SKJ[2009/05/11 07:37:00]SKJ--* 1300
*--SKJ[2009/05/11 07:38:00]SKJ--* 1500
*--SKJ[2009/05/11 07:39:00]SKJ--* 1700
*--SKJ[2009/05/11 07:40:00]SKJ--* 1900
*--SKJ[2009/05/11 07:41:00]SKJ--* 2100
*--SKJ[2009/05/11 07:42:00]SKJ--* 2300
*--SKJ[2009/05/11 07:43:00]SKJ--* 2500
*--SKJ[2009/05/11 07:44:00]SKJ--* 2700
*--SKJ[2009/05/11 07:45:00]SKJ--* 2900
*--SKJ[2009/05/11 07:46:00]SKJ--* 3100
*--SKJ[2009/05/11 07:47:00]SKJ--* 3300
*--SKJ[2009/05/11 07:48:00]SKJ--* 3500
*--SKJ[2009/05/11 07:49:00]SKJ--* 3700
*--SKJ[2009/05/11 07:50:00]SKJ--* 3800
*--SKJ[2009/05/11 07:51:00]SKJ--* 4000
*--SKJ[2009/05/11 07:52:00]SKJ--* 4200
*--SKJ[2009/05/11 07:53:00]SKJ--* 4400
*--SKJ[2009/05/11 07:54:00]SKJ--* 4600
*--SKJ[2009/05/11 07:55:00]SKJ--* 4700
*--SKJ[2009/05/11 07:56:00]SKJ--* 4900
*--SKJ[2009/05/11 07:57:00]SKJ--* 5100
*--SKJ[2009/05/11 07:58:00]SKJ--* 5300
*--SKJ[2009/05/11 07:59:00]SKJ--* 5400
*--SKJ[2009/05/11 08:00:00]SKJ--* 5600
*--SKJ[2009/05/11 08:01:00]SKJ--* 5800
*--SKJ[2009/05/11 08:02:00]SKJ--* 5900
*--SKJ[2009/05/11 08:03:00]SKJ--* 6100
*--SKJ[2009/05/11 08:04:00]SKJ--* 6200
*--SKJ[2009/05/11 08:05:00]SKJ--* 6400
*--SKJ[2009/05/11 08:06:00]SKJ--* 6500
*--SKJ[2009/05/11 08:07:00]SKJ--* 6700
*--SKJ[2009/05/11 08:08:00]SKJ--* 6800
*--SKJ[2009/05/11 08:09:00]SKJ--* 7000
*--SKJ[2009/05/11 08:10:00]SKJ--* 7100
*--SKJ[2009/05/11 08:11:00]SKJ--* 7300
*--SKJ[2009/05/11 08:12:00]SKJ--* 7400
*--SKJ[2009/05/11 08:13:00]SKJ--* 7500
